Age,Gender,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Digit_Span,Coping_Skills
9.5,Female,1.185428713,-0.574239682,3.243257762,-1.00657677,-3.539973384,12.24149454,3.142173534
9.6,Male,0.51664407,-0.011390547,0.852482259,0.614069974,-0.866340693,11.87709347,1.063732105
9.8,Male,-0.219112167,-0.243997593,1.15742531,0.441832795,-0.834160588,11.90640329,6.163260689
10.33,Female,-0.414581997,-3.563179287,0.779719798,-1.114003928,0.480063553,14.57412527,5.680593828
10.76,Male,0.08050221,0.52766282,-0.282041733,-0.652792432,0.265608082,12.38048176,4.036889062
10.8,Male,0.08732512,-0.091396211,-0.277734649,-0.463497472,-0.230377256,12.95935999,8.18827894
10.9,Male,0.51364407,-0.014390547,-0.049482259,-0.411069974,0.060593878,12.87409347,0.641198572
11.2,Male,-0.222112167,-0.246997593,0.15442531,-0.438832795,0.198423303,12.90340329,0.070950382
11.2,Female,-0.082428713,-2.577239682,0.240257762,-1.00957677,-0.869904233,14.23849454,0.681668637
11.3,Female,-0.211573654,-2.222916628,0.423286785,-1.063241496,0.665113391,12.07251113,0.714481453
11.5,Male,-0.285955862,-1.489877695,1.087782624,-0.469030375,0.690155274,11.30396078,0.490180071
11.6,Male,-0.093959544,-1.355469328,0.891399392,-0.344977905,0.606660799,13.51115815,0.647437214
11.7,Male,-0.103707308,-1.375150825,0.863124259,-0.374924657,0.63414435,12.91509044,2.183696514
11.9,Male,-0.314414232,-1.129433722,1.681486857,-0.452066217,0.605254891,8.605847146,0.746907598
12.09,Male,0.00658146,-2.175605415,0.288840354,0.497831646,0.192755975,11.198416,0.752431553
12.3,Male,-1.109345232,-0.384015255,-0.555837837,-0.869891922,0.838400244,9.609200292,0.478464842
12.4,Male,-1.383600987,-0.40585047,-0.185482596,-0.810940703,0.831598038,12.67568851,-0.69375877
12.4,Female,0.652345215,0.023189562,0.494701216,0.130505309,0.763253818,12.57561892,0.385061349
12.6,Female,-1.933023685,-1.108723996,0.00896063,-0.210614401,0.145849709,13.06301828,1.277018808
12.7,Female,0.759386439,0.81826801,-1.1146228,1.407953739,-0.342991843,11.80103166,0.280833184
12.8,Female,0.667681446,0.634146015,-0.535828907,1.430278965,-0.363699017,12.08440127,0.698611189
12.9,Male,-1.484920055,0.280544751,-1.063945816,-0.291825885,-1.409338313,9.335641756,3.668095351
12.96,Female,-0.119419091,0.264238369,-0.041740993,-0.182151072,1.8864059,14.82195692,-1.464897501
13.4,Female,-0.464417352,0.475900087,0.396146792,-0.453601866,-0.059304793,14.12622324,0.932588876
13.4,Female,-0.080133968,0.521003849,-0.184600393,-0.393703149,-0.000420762,14.07438102,1.233037316
13.4,Male,-0.288403623,-1.013705509,-0.748249497,-0.991179862,1.124012623,13.1630493,0.689592504
13.44,Male,-1.033853273,-2.355631338,-0.505104796,0.055747081,-0.886223394,13.63431467,1.781558371
13.5,Male,-1.683586902,-1.201570267,-0.068065872,-0.057119269,1.11190063,13.59459647,0.55686415
13.6,Female,0.39147193,0.368296913,0.968361878,1.123444248,-0.221936949,11.1940312,0.602806608
13.7,Male,-1.216785073,-1.386185359,0.149288111,-0.021277941,1.149510576,13.88404217,-0.015955778
13.8,Male,-1.637622625,-1.636378543,0.572000973,0.002727413,1.14480807,13.8383027,0.055447775
13.9,Female,-0.420515511,-0.891571789,1.006604926,-0.680740181,1.721190701,13.04956016,-0.100003668
13.91,Female,-1.140735856,0.330239704,-0.367868555,-0.850562863,1.81765591,11.7059051,-1.221072439
14.1,Male,0.364732674,0.795583147,0.552975252,0.21887604,0.439698447,14.56344481,0.617999919
14.1,Female,0.678947313,-1.550583728,-0.728698178,-0.240028501,-0.251493662,16.47682177,0.444661384
14.2,Female,-1.143518384,-0.047425996,-0.924059695,-1.041195532,1.104711037,16.0354017,-0.527037177
14.3,Female,0.59209983,0.33716119,0.170707751,1.178485716,0.156054738,12.21482288,0.355509268
14.3,Female,-0.529606664,-0.827494216,1.238941234,-0.607216449,1.754233703,12.32976694,0.049112218
14.5,Female,-0.230880945,0.705507926,-0.685307811,-0.649525476,1.914943369,14.48341468,-0.370018022
14.5,Male,0.506766869,0.608635465,0.97456733,0.129673952,0.432095459,13.55088785,0.273152101
14.5,Female,0.397016576,-0.409206722,-0.231126303,0.552919771,0.70429783,14.20284697,0.457791078
14.57,Female,1.475086912,0.521558595,1.048529504,1.430240699,1.370787592,11.87058958,-0.406340536
14.6,Female,0.814888273,-1.906902546,-0.531339949,-0.282567644,-0.360093365,15.88519965,0.659806036
14.8,Male,-0.276630642,0.491562052,0.726058272,-0.837726939,1.087661297,13.04263757,-0.236035178
14.88,Female,-1.20232431,0.152135896,0.821256891,-1.127066325,1.471531561,12.66588035,4.11615E-05
14.98,Female,1.592477551,-2.32762319,-0.038042613,-0.137938486,1.017341643,16.41183087,0.011709486
15,Female,1.866402486,-0.362906991,2.532218091,0.771562914,1.393589486,13.44433356,0.040846975
15,Male,0.164388503,0.263918823,0.559673098,-1.982179414,0.495301827,16.4220729,0.163565317
15.15,Male,-0.596713652,-0.618556875,1.19865203,-3.034489486,-0.203430426,16.95152463,0.236394715
15.2,Male,-0.352061507,0.263322132,0.452362106,-2.045375567,0.512775011,16.14016775,0.119497804
16.2,Male,-0.345020277,0.258055689,0.443314864,-2.004468056,0.323834673,16.14016775,0.335156016
16.3,Male,-0.026576674,-0.007060712,0.237967548,0.254453108,-0.719233085,13.83730693,0.80906782
16.82,Male,0.900763115,-0.19558395,-0.734968106,1.02959352,0.856206313,12.9038595,0.144184056
17,Female,1.829074436,-0.355648851,2.481573729,0.756131656,0.788220124,13.44433356,0.398254264
17.2,Male,-1.078730747,0.761470186,-0.855001427,-1.256009201,-0.424518548,15.39388964,0.595182848
17.3,Male,-0.026045141,-0.006919498,0.233208197,0.249364046,-0.972592992,13.83730693,1.632640239
18.2,Male,-1.10074566,0.777010394,-0.872450436,-1.281642042,-0.184429163,15.39388964,0.758646539
18.5,Female,0.411264004,-0.49002151,0.079788304,0.962508081,0.711712706,13.09607375,-0.448595134
18.6,Female,-0.646711255,-0.383112932,-0.406533163,1.939511957,1.977813364,11.2655366,-0.673690843
19.3,Female,0.938394711,-0.257648276,-0.242424438,1.504721776,0.640784599,12.96014641,-2.179451023
19.63,Male,-1.923312145,-0.187207883,-1.451201425,-0.508014441,-2.013284046,14.64395967,5.125866838
19.86,Female,0.739896958,1.926236877,0.451482735,1.319321242,3.102941933,12.13647802,-2.050954927
20.2,Female,-0.336339507,-0.845184371,-2.112250086,-1.015490571,1.766813383,13.88545104,-1.38500201
20.4,Female,0.067366266,-0.846938413,-2.107389127,-1.008502577,1.98907555,10.43255948,-2.119395168
20.5,Female,1.361950066,0.579985482,1.77998972,0.372459347,1.115724369,12.10088182,-0.124919282
20.7,Female,0.294595938,1.021563094,0.298147357,0.396612302,0.503886674,13.28339674,-0.767817189
20.7,Female,1.372278974,-1.006406957,-0.914127809,0.208575915,2.345161785,12.28587038,-1.467735989
20.7,Female,1.395731094,1.420314489,0.393864828,0.552979709,-1.030229258,14.25849625,0.596210671
20.74,Female,-0.276417602,-1.559586085,-2.478665864,-1.166558309,2.124627546,10.6157728,-1.785451742
20.9,Female,0.863520081,1.26483654,0.556088393,0.567466197,1.288317493,12.19046522,-1.101359748
21.03,Male,-2.441156551,-0.118120079,-1.779917273,-3.039521751,-2.017263276,15.68730437,1.092112487
21.2,Female,0.911312256,2.040012632,1.238792967,0.126532703,-0.931382766,13.26038693,-0.025350239
21.2,Female,1.237251313,1.234221435,0.37409756,0.620404822,-1.009121098,12.99142436,0.934562532
21.21,Male,2.607443359,0.993463222,0.455490897,2.492881755,2.43473212,12.80277768,-2.537756372
21.4,Female,-0.410413645,-1.244588542,-0.602617033,-0.471281525,1.381484426,14.18565266,-1.800590683
21.5,Female,-0.491128797,0.499382021,-0.237362935,0.202643363,0.800529199,13.99698058,-0.17511819
21.7,Female,1.362531211,-1.016247706,-0.142951978,0.198593665,2.375553506,11.28227356,-1.687038986
21.8,Female,1.00669505,-1.318820827,-0.73291182,0.143143954,2.311587597,9.488024675,-2.223687219
21.9,Male,-2.566223995,0.758437641,-2.297876124,-2.782160124,-0.314666424,15.44287579,0.355601135
22,Male,1.547316361,1.67908587,0.759399542,1.975574275,-1.332880323,11.43734537,0.797531016
22.05,Female,1.186353893,-0.041638559,-1.39669834,1.572251617,0.635470816,12.19609672,-0.765433108
22.1,Male,1.903299312,1.851845263,0.525657406,1.999599828,-1.188476033,12.43280706,0.495835995
22.1,Female,-0.456567755,0.673097178,-0.090731299,0.174657589,0.802763179,13.77065372,-0.19764422
22.3,Male,2.094523769,0.841910936,0.534045163,-0.781512562,0.388536016,13.77058707,-0.201493857
22.3,Male,1.559198832,0.443687287,0.110316244,-0.854985615,0.427475883,13.89853354,-0.244739503
22.4,Male,0.230389863,0.317255735,-1.391723796,0.627592958,-0.474874968,14.57488142,0.385874637
22.5,Female,-1.366226777,-0.04465843,1.356308198,-1.680129304,0.564702029,16.34265892,-0.023851411
22.58,Male,1.71976441,0.345617621,2.14992345,1.45302222,1.276907326,11.9501318,-0.432349323
22.7,Male,0.918842983,1.151775363,2.117872473,1.571296711,2.622340997,11.21013059,-0.541740434
22.8,Female,-1.899584211,0.11949089,1.518311768,-1.702956546,0.694609455,15.5510569,0.019729052
22.8,Male,-0.169533563,0.47911369,-0.995402408,0.52601543,-0.405046332,14.21179678,0.321527556
22.9,Female,-1.405116557,0.182445638,1.035931051,-1.586279702,0.674565574,15.08618721,-0.380285348
22.9,Female,1.785184227,0.593779539,-2.082210178,1.231392039,0.618194554,12.08640459,-0.15931243
23.1,Male,1.258323208,1.206115248,1.644856198,1.568293271,-2.73186505,14.07936324,0.468733764
23.1,Male,1.057215078,0.78101069,1.692011613,1.605961979,-1.033177628,12.43632301,0.226036012
23.1,Female,-1.880088684,0.139172387,1.537161857,-1.682992045,0.836317906,16.003585,-0.132143761
23.2,Female,-1.751550995,1.523770141,0.912315488,0.569233118,1.899424307,12.11477113,-0.535758021
23.2,Female,0.476053439,0.945056512,-0.264549036,0.422435959,1.580549239,13.70192194,-0.455019025
23.2,Female,-1.751550995,1.523770141,0.912315488,0.569233118,4.099424307,11.11477113,-1.001739306
23.2,Female,-1.232968157,-0.078036223,0.93961448,-1.196971019,0.60242686,16.02436675,0.074314277
23.5,Male,1.457158466,-0.681509207,-1.377582757,0.754755836,2.740918303,12.35703467,-0.729673457
23.5,Male,1.457158466,-0.681509207,-1.377582757,0.754755836,2.640918303,12.35703467,-0.695286272
23.6,Male,1.208194552,-0.53814554,-0.873540078,0.814346904,2.769113519,8.523637432,-0.748785524
23.7,Male,-0.4818188,-1.238577801,-1.583430413,-0.252808482,-0.232779614,13.91074832,0.293091803
23.8,Female,-1.080436238,1.575933919,0.633252763,0.804249104,0.819486377,14.56973624,-0.311855722
23.8,Female,-0.572717882,0.890368424,-1.005856458,1.129127963,-0.755994231,12.27008595,-0.227839955
23.9,Male,-0.551103142,-1.372900358,-1.216817854,-0.180344197,-0.533394123,13.61192464,-0.181057565
23.9,Male,-0.772339243,0.438899374,0.675534604,-0.673629353,-0.04284371,13.71775086,-0.000517987
23.9,Female,-1.039625552,1.334513125,0.259193307,0.744344832,0.718753107,13.99238812,-0.407730791
24,Female,0.190735535,0.597002621,-0.029053527,0.413786819,1.661949791,13.42181155,-0.623750063
24,Male,0.143030537,-1.388051652,-1.955553993,-0.272246904,-0.141098254,13.34765461,-0.023671607
24,Female,-0.218854024,0.968411022,-0.99317357,-1.270014891,3.180383208,11.02159397,-1.580916226
24,Female,-0.428743888,-1.216926718,0.047336668,0.930399869,1.479476788,13.85012936,-0.538753316
24.03,Female,-0.521132649,0.876077904,-0.396753627,0.198138774,0.277614543,15.29866268,-0.089729514
24.1,Female,0.651933983,0.670668049,-0.375552242,0.333105023,3.723245003,9.411820132,-1.993658817
24.1,Male,-0.412727914,0.800585758,-0.426306696,1.120671652,-1.311822038,14.35551334,0.580516259
24.2,Female,1.201555955,0.463632129,-1.078238077,1.188040787,1.572821644,12.59295668,-0.817640331
24.5,Male,-0.271021804,1.888072386,0.519608748,1.629657906,-2.368901846,18.58421316,1.028630235
24.51,Male,0.418594412,-1.707352797,-2.202713351,0.264308509,0.341599104,13.57472683,-0.681250093
24.6,Female,0.533240654,0.862285832,-1.192402894,1.203814964,1.515966499,11.18338498,-1.034982024
26.1,Male,-0.211753781,0.124696759,3.886338805,-0.872097458,0.223030969,16.50315166,-0.414220047
26.1,Male,-0.211753781,0.124696759,-0.886338805,-0.872097458,0.799773475,13.50315166,-0.207758947
26.15,Male,0.404668564,-2.768076747,-1.379443988,-2.943984595,1.627443917,11.71480564,-0.898712121
26.15,Male,0.404668564,-2.768076747,-1.379443988,-2.943984595,2.127443917,12.41480564,-1.879565585
26.2,Female,-0.527451757,0.216038302,-0.528090845,-0.851567814,2.521656399,13.74825668,-1.976824103
27.2,Female,-0.527451757,0.216038302,-0.528090845,-0.851567814,3.026938092,13.04825668,-2.432449878
27.5,Male,0.406532706,-2.832108579,-0.779413122,-2.444486859,-2.936657566,13.88421316,0.789902744
27.5,Male,0.406532706,-2.832108579,-0.779413122,-2.444486859,1.918935458,12.58421316,-1.784522121
27.9,Female,-0.906790816,-0.347421038,-1.150925269,-0.281391115,4.10157947,9.83046812,-3.368920364
29.9,Female,-0.906790816,-0.347421038,-1.150925269,-0.281391115,4.410121228,7.83046812,-3.62050174
